Sentiments,Reviews
neutral,gum sy lganyy prty hain.bus ye issue hai
positive,bkwas chez hai
positive,Highly recommended 😍happy to order as usual 😊
positive,Satisfied
positive,This silicone baking mat was so amazing and very good quality.... Highly recommend ☺️ thanks daraz
negative,can't write anything bad because this will reject the review to hide something bad
negative,One of them doesnt work. How to return.
positive,"Good Product , Sound and microphone work absolutely fine"
neutral,Thek hi hain guzary laik 😕❤️
positive,"excellent service, good original product, zaberdast"
positive,excellent product with high quality material thank you so much seller highly highly recommended
neutral,These are just simple towel fabric. But its good to use
negative,"did not worked with Honda civic reborn 2007, upon plugging it the engine and abs lights + gear lights started to blink by there own, have to remove battery plugs to clear them off,seems some kind of shortage in the device.so seems low quality product. returned it. however seller is a nice person"
negative,No it was very hard to wear
positive,exactly like the picture!
positive,Stuff nd fabric was lit🔥my friend was very happy..😍perfect gift for bts loverss👍🏻💯
negative,its not waterproof
negative,not recommended too expensive..
positive,thank you so much sir for such amazing feedback
positive,Good Quality nice perfume Thanks Daraz 💞💞💞💞💞
neutral,Over all its okay but I was expecting a lil bit more brighter lights. Lights are not enough alone for make up needs
positive,Fine plastic... Beautiful colours. Totally satisfied 😊😊
positive,nice product fast delivery and good chat response but I will order silver grey but receive black glasses ðŸ•¶ï¸ thanks draz
positive,"As advertised, i recommend this product and seller"
positive,"good quality product
satisfied "
positive,I love this very nice voice and my qualities good 💯💯
positive,As per description. Satisfied ❤️
positive,Very fast shipping and service
positive,same as shown in the picture...Good experience thanks daraz
positive,Only Real professional nebulizer for home treatment
positive,"Works fine I guess, better than others in the same price range."
neutral,Not Great Quality But Good For Home Use This Shoes Are Useful
positive,Thank you Daraz same product send krne k liye
positive,"Very good product
 &
Jo b mangate hn time se pehle hi ajata Hy"
positive,Nice product in this price.
neutral,"I orderd blue its size was ok than i orderd the same size in red twice from my other account and they sent the wrong size measurements can be seen in the pics, quality is good"
negative,"Device is not working properly. Most of the apps are not responding. Hence, not much satisfied with this device."
positive,nice quality. recommended 👍
negative,"The package material was spilled inside DARAZ flyer, whole product wasted , they don't even know how to properly pack it to ship it safely"
positive,it is best for connect your laptop or any PC in your simple LCD or LED tv at your home
positive,Good quality potatoes. Thank you Daraz! 
negative,Damaged product. I tried to return the product and choose pickup option. The rider called me to pick up but never came to pickup and two days after I got an email that my return request has been canceled.
negative,"it's not dust proof, poor quality Shame on your saler"
positive,awesome products thank you sooo much I'm very happy daraz
negative,Lannnat aise product pay  our apppay.apny khrab mp3 bhaijiii paise zaya kiay
neutral,excellent quality feels and looks great.... but now wbm has increased the price by 50 rs. please bring back the old price and reduce delivery charges
positive,"I have received my order, it's working perfectly, Satisfied with the product quality and service, keep it up, Thankyou"
positive,It's the same as it was shown . Cloth stuff is perfect. Excellent product 👍👍
negative,Product received but didn’t work for me hope i can return
positive,price ke hisab se shoes best hai i like it and very happy to purchase this product thanks daraz 
positive,Timely delivery always fresh
positive,"Received on time and product was good, stuff is good, thanks seller and Daraz"
neutral,the Watch is Ok at this price and works well with a fit pro app display touch is Ok but only issue that I face is battery timing is half day
positive,"Bht hi achi hain lights
Seller Recommended... "
positive,Amazing I love them so much my room looks even better now I’m in love thank you ! :)
positive,all vegetables are fresh and good
positive,The quality of the product is so good.Have ordered these in Jumbo size.Delievery was on time.Will shop again soon🙂
neutral,quality is ok but sound is low in my opinion its more suitable for bike instead of cars
positive,❤️All over best 👍🏻
negative,rusted and not working wasted my money 
negative,Just got scammed
negative,The color of football faded in just one day and the quality is not good I have returned it but I do not get refund yet and the service is too slow I cannot imagine. For a footballer I will not suggest this ball try another football this not thermal molded.If you play this ball will turn in White color in just one week the original color will quick start faded.over all the quality is not good enough
neutral,Ordered pink and blue but received pink and black. Anyways satisfied with the product. Nice and cheap in price.
positive,The lights were awesome. They were perfectly packed.
negative,"way sub par quality, received pink color when selected blue, and the seller won't respond at all. please do not waste your time and money with this seller"
positive,Fresh vegetables. Half price b/c of PSL final voucher. DFresh delivered up to the mark item always. Highly recommended.
negative,"shape is not good. looks old model infact only name change, model is same to old one"
positive,awesome quality
positive,very useful item same item same colour which I ordered.
positive,"Fast Delivery just receive items next day of my order palcement, safety and properly packed"
neutral,"very good but one of them got torn while seperating from one another so one should be careful as due to hot season they were sticking to each other, better to keep in fridge before seperating them, otherwise very good and useful"
positive,Very reliable seller! Excellent product and good support
negative,low quality 
negative,"ordered blue color and received this one mirrors lights broken
 quality is not very good but fine.
 Be careful before purchase"
positive,nice and good
positive,Good Packing Deliverd in time that mention Best High Quality shoes with extra shoe laces in thi price
negative,The worst product I have ever received from Daraz.This one is a Third-class product and just a waste of time and money. Secondly
negative,I Order Black Colour sandal But They Deliver Me Red Colour.. My Wife Angry On Me.Please Don't Purchase There Items. They Are Fraud
positive,so excited to receive my parcel these vegetables was best I'm glad I'm a daraz customer.❤️
negative,Plzz order na krna main ne mngwya h jis ki charging nh ho rh ek ghnte lgye rkhaa phr bh charging nh hui just ek side work kr rh h B's dosri side ki charging hi nh horrhhh 
positive,Love it ! 
positive,my pc broke before it came so i did not test it but delivery was on time and product was as described !
neutral,Fair quality product. Not exactly the same as shown in the picture but acceptable.
positive,daraz ki best service hai fresh vegetables hn. gher bethe apko premium quality ki vegetables mil jati hn satisfied recommended
positive,it's nice product good quality good packing and fresh item 👍
positive,fast delivery and quality is also good highly recommended for calisthenics and for weight alternative
positive,"ordered 3 packs, got 12 pair.Really good stuff. wore them to with my sneakers. very comfortable.. will order again.keep up good work. recommended to all ladies!"
positive,bht hi acha product hy same waisa hi jaisa bataya gia ta quality b bht achi hy...I recommend this product.
neutral,"received today.
fast delivery but they don't glow as shown in the advertisement.
overall experience is good."
negative,when i text u about the price of sanitizer so you reploed that its our daraz price we cant make it less from 355 to 295 then why u decreased its proce now? its completely riticulous that in this situation u have no worth humans just u need to earn profit in this wrong way. very disappointed
negative,A little hard and broke very quickly due to lack of stretch in it
neutral,just ok
negative,"I found the price of this fragrance to be exorbitant for what it offered. The scent was mediocre at best, and there was nothing about it that justified the high price tag. I felt like I could find similar or even better fragrances at a much more reasonable price"
negative,leaked panty........not recomend for periods
negative,"The sexual wellness product I ordered from Daraz was not as described on the website. The size, material, and features were completely different from what was advertised, leading to a disappointing experience. It felt like a bait-and-switch tactic, and I felt deceived as a customer"
positive,the mouse pad is very good and the texture is good. Delivery was very fast I guess it was even less than a day. I would a 100 percent recommend this.
positive,"Good product with reasonable price.
Recommend for all of you."
positive,"high quality 
I like it. thanx"
positive,Fresh n on time
positive,boht achi thi sabzi ortime par deliever hui thanks seller thanks daraz
positive,Amazing And Gre Sound Grea product as well
positive,"Well packed
very good store , very good product , i write this message after using 10 days , good battery stay around 3 hours working , i like it too much thanks for store thanks for all"
negative,I think the spatula is more expensive for just being a wooden stick of 90+ Rs/-.
positive,It was really good stuff n very soon delivered 
negative,size same hi beja ha but colour wo nhi beja jo many mangwaya tha to ye Ghalat bat ha 
positive,"I collect 50% off voucher discount rs 600

Daraz live show I order great discount  I collect 2 vouchers 

amazing #happyshopping great daraz online shopping I like online shopping on daraz online shopping  #DiscoverDaraz #DARAZPK 🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡💚 
#ShopYourWorld #findyourthing

#DarazLive"
positive,I usually take a month to review daraz products and it's been over a month i am using these head phones and these headphones are really nice and also original Gionee headphones.
positive,Ordered 3 handsfree and one came faulty. The owner was kind enough to send a new one without any charges. They work great as the voice goes well and sound is good too
negative,Not working properly.
positive,perfect
positive,Satisfied!! 
positive,very good and useful product highly recommend for those who have short space ...
positive,this pakig is good. quality is great
positive,it works properly...i am happy with this product
positive,thank you so much product is really owsam.. song quality is good..
positive,Daraz price was always best as compare to other online stores.Thumbs up for daraz.
negative,full bakwas bag thy .hath main bag lain to phat Jata ha aik second main 
positive,It was received very quickly and was exactly as shown
negative,Low quality 
negative,poor material poor quality.not recommended.
negative,yar bhai wo TU on he nahhoo rahi
positive,Best experience ever works perfectly no issues caused soon I will order more
positive,Good Product 👍
positive,It's good. Thanx good quality 
positive,Very Nice Product. We ordered total 5 machines .. excellect working.
negative,Does not work and crashes my pc whenever i plug it in. Waste of money
positive,"Good product, loud and clear sound with a okyish bass. Wires are too thin could've been better. Packaging was nicely done in a bubble wrap.  Received parcel in 4 days 👍🏻
8/10 overall."
positive,Packed nicely
positive,"really premium quality bag. i was not expecting it to be this good honestly but man, i just loved it. premium and strong fabric. strings are also very strong. highly recommended! thank you seller, keep up the good work! 👌👍"
positive,product achi h rate k hisab  s late review dera hu sound is good 
positive,"Very helpful,  can easily fit your clothes.  Great quality.  Also the delivery was fast.  "
positive,Quality bht achii hy is price mea ye pendent nice â¤ðŸ¥³ðŸ¥³ðŸ¥³ðŸ¤©ðŸ¤©ðŸ¤©
positive,good product in this price. Thanks dazar
neutral,quality achi lakin bss light off ni hoti is liya battery galti low ho jati ha 
neutral,firstly charge when changed light will goes off
positive,Good and fresh
positive,potato bht achai hai aur bht fresh bhi hai
negative,buhat halki quality he 500 Rs wala jota 880 Rs men mil raha he
positive,"Scents & stories just nailed it, out class products. Fragrances are good and lasting long enough for this price range, excellent packaging thanks for extra sample tester and 7% discount voucher for next order."
positive,Nice 👍👍👍👍
neutral,Its Size Is Too Large But Its Ohk
negative,not adjustable really tight
negative,price is a bit high then the local market.
positive,"The product is overall good. The seller is amazing. He provided me support during the product issues. A very nice person. This is my first long review to tell the authenticity of the seller, a must buy product and a great person to deal with. Thank you Shizi Interiors"
negative,👍bht late delivered hua
negative,Mujhe ap ne 2 bhej diye hain jabke Maine 3 order kiye the aur Uske sath ap ne mujh se paise 3 Ke recieve kiye Hain prr us m the 2
positive,Very good product and service.
positive,es price k hissab sa achi cheez h or sound quality b achi h delivery time b perfect h 
positive,Bohot achy shoes hai Kam Price mai Gym K liye best hai🥰
positive,I ordered for my customer. Its recommended to buy this product
neutral,the light itself is great and is bright vibrant however the adhesive to stick the light to things is not good and causes the lights to fall down. the remote works fine but at close distances only.
negative,Very poor quality! Not per pictures
positive,freash and good rate
negative,Product Quality very bad. Dropper means any liquid will be sustained in the dropper tube until we press the pad but in this dropper liquid dropped
positive,d fresh ki sab sabziya bht hi achi saaf aur fresh hoti hai aur packing bhi bht achi hoti hai recommended 👍 thanks Daraz 
positive,I have received my Jawliner.I am very excited and So satisfied with this product.It is really a good product and its quality is up to the mark.I recommend all those customers who order from Instagram plz Try this.This is The same product in Cheap price.Thanks
negative,I did not received my complet order.. I orded 2 pack but received only one pack.. I pay complet amount but did not received complet order. What is this?
positive,Excellent working 
positive,Good quality product with nice discount. Good packing timely delivered
positive,Smell is Nice and good.original product
positive,"nice product in this price,good quality, battery timing is also good,overall good for use"
negative,Initiating the return.
negative,sealed open also packing is not same but sealed open not accept able
negative,Bad expression
positive,quality product....
positive,Same as shown in the pic .Thanku so much seller well packed 👍👍🤗🙏 . delivered o in tym Thanku daraz 5 🤩
positive,Good quality kitchen towels and good value
positive,like it
positive,same shown in pic also shine in night very nixe and original seller thx daraz
positive,Got the original product with the seal. Very satisfactory service from the seller.
negative,rotten potatoes received
positive,"A good + solid quality and its lite weight good for normal gaming and normal useage, thanks draz"
positive,Recommend 👌
negative,it wasn't as shown in the picture
negative,"unable to read codes , or cant attach to toyota, nissan days."
positive,thank you daraz its really nice and beatiful
positive,Good Quality product. Came in decent packing. recommended 
positive,Just received the parcel and i would say i didn't get this type of handsfree for years... sound quality is like original/expensive handfrees. Definitely recommended.
positive,i got what i ordered. good quality
positive,"Parcel is shipped on time, Thanks"
neutral,Overall good but must say it should come with the dropper.. product could not comeout with its tiny holes and we can squeeze or press the bottle as it is madeup with glass
neutral,Good product recommended. Satisfy with the packaging. Delivery was very Slow 
negative,pulg ander ni jata charag ni hotta
positive,i am satisfied good thing 8n reasonable price
negative,light kai colours  bohat local hain
positive,"Order received in 3 days in Karachi, very fast delivery! The product is in accordance with what I ordered and everything is well identified. The price is extremely low for what seems to me to be of good quality, I recommend this seller at all levels✌🏻"
positive,"Good packing and fresh product, also find it on low price compare to market, really satisfied delivered with the 24 hours, thanks daraz fresh."
positive,bht piyari inpoda hn .... Jesi pic me dekhae same wesi hn ... bs size Thora SA chota h bqi inpods bht piyara hn ... delivery b fast hue kafi safe packing k sth ... inshAllah dobara...
negative,"Seller sent me wrong product, they sell with the name of Mama Love but they sent other brand product (ideal toys) Its quality of plastic shelf and fabric is very poor. For this price you can get good quality product from local market. I dont recommend this item."
positive,"The best price, very good quality sticker is low quality but with this price it's good. definitely would recommend "
neutral,"Good Quality shoes.
but little disappointment from the rider delivery late a little bit.
but overAll the product is Awesome.
Recommended Seller"
positive,Bahot achi lght hay
neutral,voice bahir tk ati hai.. baki good
negative,Assalamualaikum! The cloth of our wardrobe is too short.And the color that we ordered was blue.we recieved wardrobe with green color.
neutral,"it was very nice pouch can easily carry handfree airpods or splitter etc
i will highly recommend you this product.
it can easily fit in pocket and delivery was also super fast"
positive,Amazing!wonderful item
positive,Very fast Delivery Fresh n Nicely packed Recommended seller
negative,"Very mis leading, deceiving advert. It's very small in size. Doesn't fit the pram/pushchairs. The seller should clearly mention the size of it, every where in the pictures uploaded and in the description. Also, quality isn't good at all. We received it with stitching coming out. Definitely, returning it as received it damaged and mis advertised. We collected from Daraz shop, they should check the item before dispatching it to the customers in order to save time."
positive,will shop again very soon.  keep up the good quality always
negative,worst for sensitive skin. worst for summers. worst for oily skin. also it's the most sticky sunscreen I've ever used. I'm very disappointed
positive,Aaaah! It’s so cute !!!! Hundred percent reccomend 💖💖💖💖 I love it thanks you so much 🌸🌸🌸💖🌸💖🌸🌸💖
negative,not recommended..  damaged stich with very light material... 
neutral,received different color but quality is good
positive,"Original Product, Material quality is good. Totally satisfied with the product. Delivered before the time."
negative,Compass is showing wrong/ inverse direction.Not returning considering it nominal amount pl.
positive,i am happy with this 💕
positive,Heavy bass Best mic for voice and best for Also Pubg🥰
positive,Good Quality. 
positive,"Very Nice Product.
100% Satisfied
Seller Recommended."
neutral,it's confusing.
positive,good for its price
negative,poor bettey  not satsfy
negative,some product not recieved fresh 
negative,Bekar hai mat khareedo Quality 3rd class
positive,Outstanding service. amazing product. quickly delivered. CSR is quick and appreicted and properly  packed undamaged recieved. and original product. thanks FASTER.
negative,please take it back
positive,zabardast quality hn sound be acha hn or mazbot be hn    best app for DARAZ
positive,no scam Good product
negative,pathetic service as i ordered Red colour and description on page is also Red but they sent me different colour.
positive,very beautiful cooperative seller over all is best
positive,Fine quality.
positive,Got an amazing jade roller and Gua sha set at a cheap price best quality made with natural stone and timely delivered.seller is also cooperated.
positive,same as in pictures.... in love with this colour ... the colour was same amd exact large size
negative,Bluetooth is not working 
positive,I like them 👍👍
positive,Great product seeing is believing ...all the items had black spots before using this product.
positive,zabardsst.. lekin ye heavy cheezon k liye ni hoty . just light weight things like clothes etc.. thanks seller
positive,It was  delivered  on time and sound  quality is good and heavy 
positive,outstanding 
positive,"Thanks Seller
bohat achi handsfree hai quality bhi bohat best hai sound quality outclass aur built quality bhi achi hai Lekin ek cheez Samaj nahi ayi handsfree bilkul original hai but iske sath box Hona chahiye tha "
positive,I love it both are working and sound quality is okay not too loud but It's fine with this price.
neutral,product is good but battery timing is very low
positive,sneakers were awsome and seller is very co operative. i had problem with size which is totally my fault but he guides me nicely and i m very satisfied.
positive,low price is osm
positive,Highly recommended ❤️
negative,third class item waste of money
positive,really nice shoes and they were well packed and also delivered on time
positive,excellent 💕 my 4th order
negative,Really disappointed.. Damage piece.. Trying again and again but can't inject air
positive,The fever cooling gel patch is good in this price range. It took time to deliver in Lahore. Have to test it
negative,I received faulty LED light only starting bulbs working then others not working. Very disappointed
negative,Quailty is not good
neutral,"Lights was ok but adapter was third quality, 
adapter was defect in few minutes of use"
positive,"Best LED lights on daraz , would recommend"
positive,fresh vegetables 
positive,Excellent quality product and excellent service by daraz
positive,Veri nice  amd beautiful 😍 🤩 👌 ❤️ ♥️ 💕 
negative,You are selling A copy of Gionee it's not original Gionee and no mic working when i got it so bad experience from Daraz mall 
negative,I have received damage hair dryer.I will return or send me new hair dryer
positive,Wonderful experience with such an amazing product. There is no way to talk about the Originality of the product. It is original product and store of Dove.
negative,"The medical items I ordered from Daraz were poorly packaged, leading to contamination. It is crucial to maintain sterility and proper packaging when dealing with medical supplies. Their negligence in this regard is concerning and can have serious consequences."
positive,Good quality lights recommend to anyone looking to buy Led lights 
negative,Not my orders
positive,Nice and perfect working. Fast delivery
neutral,Got it as it was the difference is that in the picture it seems too fluffy and big while in real its kind of small and i wish the elastic would've been more stretchy otherwise good product
neutral,"So I've been using this for a while now. Here is my review: Buy if you want to use with PC. Wouldn't recommend if you want for Mobile. Wouldn't recommend if you want to PS4. The packing is good, build quality is good. I think they're optimized for PC. Their not very heavy and are actually soft. my main issues was high sound. I feel like sound was less which was a bit underwhelming but still they're overall a good product. Especially for this range."
negative,packing is very low quality
positive,it's nice 
negative,"it's not the good item and not glowing in dark, it's just plastic, not florescent stars"
positive,"very good quality, amazing stuff Nice dress 👍🏻"
positive,Best quality
negative,It just broke as I opened it It is a fraud
positive,fresh and we'll packed 
positive,"It's a perfect solution for those who want dandruff free + black shiny hairs. POV: The product is original and as always at DMART, the product price is lower than the mark price. The Mark price was 500 while the listed price was 476 (when I ordered). DMART never disappoints anyone in pricing and quality. Thanks DMART."
positive,just good
positive,good product delivery on time packing is good
positive,"MashaAllah amazing winsome camping tent im a youtuber and my camping experience was very awesome, good quality thanks. best for 2 person’s..!"
positive,bht achy hain jesse pic m thy wese hi ab iski battery 🔋 timming dekhni h 
neutral,I nots like that i dont like this product its pretty cool its bass is also awesome but ot delays too much even when your are watching a series you cant tell that what are the characters saying.
positive,"Best quality, received it in time as well."
positive,exactly like the picture. good quality. loved the design
positive,Fresh Vegetables in Economical price 👍
negative,"Bad product, said it can open up to 190cm but it didn't even fit my 162 cm"
positive,order was nicely packed ...i appreciated team of daraz and daraz...â¤â¤
positive,Proper packing and quantity 
positive,"Very good product, fully satisfied"
positive,Build quality of plastic but is very good. Keyboard has some weight. Blue switch keys feel and sound very satisfying. Keyboard has various lighting effects but its not RGB its rainbow. Amazing product for its price.
positive,Good quality for the price.
negative,"product received safely, and the packing so far good,but the quality of the product is very poor. its was my first purchase and it is not worth of money.
after 2 to 3 hrs charging the battery not last even a hour, and during call voice quality is worse...
to seller i want to say,
take the price what you want, but at least dnt cheat ok please..."
positive,it's nice product good quality very fresh vegetables and fruits packing is good 👍
positive,most humble and helpful seller JAZAKALLAH for delivering the most beautiful package
positive,Thankyou Daraz ♥️ today receiving my parcel best quality best bags thankyou 
neutral,Quality is good.... but the size is small for a charger 
negative,the device is as per specification but battery with the device is dead and discharge in one day but lucky the battery's aval everywhere
negative,poor quality...
negative,doesn't satisfy by delivery time by daraaz its not delivered on same day as it is express delivery
negative,very slow browsing even on wifi.tecno pop 2f old model using last two years same specs is better than
positive,Mind blowing product im a regular customer of Daraz and I never disappoint. Daraz is a Good platfrom of shopping
negative,Remote is not working at all even after replacing the battery. Lights are good so far. Seller doesn't seem interested in responsing.
negative,it's not same as shown. it s just cotton panties. stitched with plastic sheet.
positive,Packing is good and very good hard material.
neutral,Average Working
positive,AMAZING PRODUCT LOVED A LOT WILL ORDER MORE ❤❤❤
negative,they have sent me wrong product i dont want it in black seeds. you can see my order and see the picture which i posted. product is given wrong or intentionally.
neutral,"The toothbrush is as advertised and is incredibly soft and not too harsh. it feels different from other brushes. However, a cap would be a good inclusion."
positive,nice stuff .good to keep warm .pls length of pajama should b mention with age.
positive,good quality product. nicely Packed.
neutral,"The refrigerator has adjustable shelves, but the freezer compartment could be more spacious."
positive,Nice quality ... 👍 satisfied
positive,perfect 👌 
negative,very poor quality really disappointed it's totally useless it takes more than one month to get my order I was not expecting this from seller
positive,supper discount and dove and daraz voucher thanks
positive,outstanding & voice is really clear
neutral,almost good because we are get in cheap price
positive,"Great! Quality is good in this price, specially it's two sided belt! I didn't expect this quality but the seller makes me hppy"
positive,very niceeee ❤️ not expecting this in this range 🥺
neutral,it is good but volume button is not available 
positive,It is better than i expected. Thank you ðŸ™‚
positive,"best speaker in this price if we go to buy offline there is no speaker cheaper than 800 this is best for its price.
recommended."
positive,very high quality stuff. i have been using it continuously for last 2 months with extraordinary results. definitely recommend
negative,airpod chal hi nji rhy yeh kiya bakwas ha
negative,it was not worth it
negative,not regional and not effective
positive,"Waoooooo🤩🤩, Really amazing dress in very reasonable price, thnkx draz🎉🎉"
positive,Yeh bohot acahi hai mai issai do month sai istaimal karrahi bohot achai hai or delivery b time sai pehlai howi
positive,this is very useful product.
positive,i check it and it is okay as shown in picture...same as described
neutral,It's my second order.. I like it overall. Just a little tight on underarms.
positive,kids love it. thanks daraz always have a great experience buying from here
negative,this is my 2 ND experience with daraz to buy IPOD 1st one is good but this one is bad ear phone is not working malfunctioning only one ear phone is working vendor should have some quality control mechanism
negative,farag
positive,"Quality is quite satisfactory,sound is Good without base, it's basically has a stereo sound.
But the air buds are slightly bigger in size so it's not comfortable to wear.👂
overall Good product in this price 👍"
positive,great wrapping sheets. Quality is very good and delivery time is fast
negative,Only got three rollers of required size the seller had sent 6 small rollers instead of other rollers. Why you guys do that should have added it to wishlist. Would never buy from this seller again.
neutral,bht jaga se order kia lekin ye best he 
negative,Size issues
negative,Key board forst ketter stopped working after half an hour os the usage.
negative,broke after one use
positive,Same ss shown in pic ...satisfied 🙂
positive,It's a good replacement strap. Not as premium as the original one
negative,"As same shoes 
laken size same nhn aai hai 
jo m ny 9 size  bolaa thaa 8 size aai hai"
negative,"The sizing of the bandages I received from Daraz was inconsistent, with some being too small or too large for practical use"
negative,very very bad quality
positive,I got my item and I fully satisfied with my purchase. It works perfectly. Thank you daraz and seller.
negative,not satisfied 👎
negative,Ap ka ye product bilkul bekar ha is ki charge 10 mint b ni chalta Kya ye replace ho Sakta ha
positive,Very nice quality and fast delivery
positive,Kamaal ki light ha maza agaya yar really highly recommend
negative,the opening cap was broken and 10 to 15 ml already wasted
positive,"Mashallah , very amazing parcel I like it too much and thanks "
positive,MASHALLAH very nice product.very handy and amazing pump fits well in my football bag and pumps air quickly.cooperative seller
positive,The hiking stick is delivered securely packed and on time. The hiking stick is good and as per advertisement. The only addition of joining instructions can be very helpful for novices like me. If possible upload an instruction video as I want to order more for my kids.
negative,Bohat bakwass shoes thee like same product to bilkul nhi thi agge so to pata nhi kya bana howa tha 
negative,Airpods are so bad. I connected charger but not charging the airpods. Daraz app is full of frauds. I wanna returnthe airpods Right now.
positive,"Today i received my order, and it’s just amazing , product is same as it described by trader. Trader response also very welcoming. Overall great experience"
neutral,Sab kuch to ok he but packing tora karab he or shoes me bohot matti laga he or soal me chota sa sorak he but Ok
negative,"It really works worth buying, its painless."
positive,Shoes Quality 👞  Nice and Design Very Nice Good Quality 
neutral,good product according to price
positive,Amazing product..
positive,Packing was good.
negative,such a cheap wallet in high price ... not recommended .... disappointed ☹️
positive,❤️❤️❤️ nice product 😄
positive,"very poor. they don't shine as shown in picture.
very disappointed "
positive,good product in this price 
neutral,Thore mithey nikal aye hain
neutral,"Good quality, however people who wear small can fit into this"
neutral,it is good small product and i used curler which is ok. i felt some smell when it got hot but in this price its a good choice.
positive,Thanks Seller for sending the same things as you mentioned.Orignal Gionee handfree in low price.Thanks once again.
positive,These are great! Pretty enough to leave on your counter by your sink area without looking like just a kitchen rag. Thick and absorbent!
positive,"six ⭐⭐⭐⭐⭐ it deserve, all the items are super fresh and good, thanks team Daraz."
positive,ear birds bhot khoob hain nice 
positive,assalam u alaikum mjhe Mera parcel recieved hogaya tha me thora busy rehti hu isliye review Dene ka time NH Mila nd thanks for daraz i m soooo happy mjhe boht passand aye bags nd ye mera second order tha 
positive,Reliable ✨
positive,Very good item delivered in time as stated. I like it very much👍.The size that was said has arrived.
negative,cheap quality
positive,"best product
same as shown in picture 🔥😍❤️"
positive,amazing stars 🥰🥰🥰
positive,"Great product, completely satisfied, recommended. 👍💫"
positive,Very very beautiful 👍✅
positive,"good secure packaging, authentic product, delivered on time, very satisfied with the quality of the product and service, highly recommended very nice quality price is affordable seller is too good packing was awesome overall best experience recommended"
negative,Bags ki quakity thodi behter banayen mere 2 bag phatt gaye kapre dalne main.
negative,"I got the parcel and I am extremely disappointed, gutted. I am a tall person and I used to wear XL clothing, so I ordered XL size and what I got was not the XL. although, XL was written on it but it was no way near to XL. I checked the size again and again with my other Ts but none of the 5 T-shirts which I got from you guys, were XL. disappointed and regretted."
positive,nice product for baby and seller has been attached a gift for baby recommended.
negative,Trash they sent me a defected one
neutral,The mouse pad is really good for the price. Highly recommened to buy this but I was not satisfied with the packaging. The mouse pad was curled from the corner.
positive,Original product! I was worried that it may be fake because many sellers on daraz selling fake items. But it is genuine Sunisa. Thanks 😊
positive,this is a good product everyone buy this product
positive,These shoes are very comfortable and it looks very beautiful.I am impress for these quality.😊😊😊
positive,Really nice lighting.
negative,Low And cheap quality 👎👎👎👎👎👎 Mic sa awaz he bohot thodi jati ha .😡😡😡😡😡😤😤😤😤😤.. plz deliver right things .... Log ap logo ko pura passa deta he but ap log 2 no product deta ho sham on you 😡😡😡😡😡😡😡😡😡😡😡😡
positive,"Good product
Recommended 👍"
positive,Sound is cool as expected Thank you. 
neutral,fine ok
negative,not cleaning the teeth as said by seller if you clean your teeth by product or not no difference
positive,bohut soft beautifull i 12touch white wireless bluetooth mila .thanks daraZ
positive,The Product Was Overall Very satisfying
positive,perfect... safe packing and very good quality.
positive,zabrdat
positive,Mashallah super itoms provide by daraz I am v happy low price but itom is high quality. 
neutral,"quality is average but good for money, timely delivered aand packaging was great 👍"
positive,Handsfree is 100%  genuine. got in a handsome price
positive,Awesome Product.
negative,very very poor shoes quality is very poor 
positive,Good product. light weight & portable
neutral,quite small in size but good.
positive,bahot umda 
negative,it looks like original gionee. seller sent a small gift as well. no bubble packing so could have been damaged. will share more after use
positive,Amazing shirt love it ty
negative,"before purchasing, I confirmed from the seller that will this scanner shows Airbag (SRS) and ABS status and the seller told me that it will be available through moto data application. After the purchase when I tried through the same app the app doesn't support airbag and ABS and gives option to purchase plugins instead."
positive,Soo soo awesome 😎 shoes 👟 Really it's soo cool. Thanks to seller and recommend
positive,It is really good product beacaus it have a all Good features this watch price is in lacal shops 2000 & 3000 thousand so as a local person I afford this watch ⌚  to my salary
positive,very cooperative seller. well packed no defect. highly recommend
negative,Khrb bhi ho gy aik mah bhi nai chly 
negative,bottle received damaged.100 ml lost.
positive,"Acha hai iss rate ma  Rs, 40 good quality alu thanks"
positive,"Great product, superb sound quality"
positive,original good 😊 quality 
negative,very low quality used damaged not recommended also without filters
neutral,Satisfactory
negative,the product was recieved broken. it was not even packed poperly. atleast you should pack it properly since it breaks easily. i did not pay to recieve damaged products. disappointed. literally had to tape it together.
neutral,It is a pretty decent product with a good bass quality and loud sounds levels.
negative,fazool light jasi dikhai thi wasi h hi ni .light blink hi ni krti 
positive,Thank u sooo much daraz😍😍😍😍😍😍
negative,I am satisfied with product but low quality or nishan b h side pa 😏
negative,Totally unsetisfied. Watch was full of scratches. Atleast should have sent new one. Somehow its working but I’m disappointed because it was a gift
neutral,Average quality face masks.
negative,"got my skateboard its not the same as shown in picture.whenever I stand on it,it makes a cracking sound as if it's going to break"
positive,"picture MN star ka size kafi bara tha lkn original kafi chotay stars hn.
wsay thk hy good product "
positive,Nice Quality AND recommended
neutral,The size of leaves are a bit small but overall a good product in this price range.
positive,i recieved my order thanks daraz ..... like it
negative,charging chip kharab ho gi haa
